X	Y	Dz	Depth
3.495	0.196	0.00623	0.0299
3.497	0.2	0.00763	0.0281
3.499	0.204	0.00843	0.0273
3.502	0.209	0.00893	0.0268
3.504	0.213	0.00873	0.027
3.506	0.218	0.00823	0.0275
3.509	0.222	0.00763	0.0281
3.511	0.227	0.00863	0.0271
3.513	0.231	0.00913	0.0266
3.515	0.236	0.01103	0.0246
3.518	0.24	0.01013	0.0255
3.52	0.245	0.00973	0.0259
3.522	0.249	0.00933	0.0263
3.524	0.253	0.00903	0.0266
3.527	0.258	0.00783	0.0278
3.529	0.262	0.00743	0.0282
3.531	0.267	0.00703	0.0286
3.534	0.271	0.00663	0.0299
3.536	0.276	0.00583	0.0307
3.538	0.28	0.00563	0.0309
3.54	0.285	0.00573	0.0308
3.543	0.289	0.00503	0.0315
3.545	0.293	0.00413	0.0324
3.547	0.298	0.00383	0.0327
3.55	0.302	0.00333	0.0332
3.552	0.307	0.00373	0.0348
3.554	0.311	0.00413	0.0344
3.556	0.316	0.00323	0.0353
3.559	0.32	0.00163	0.0369
3.561	0.325	0.00043	0.0381
3.563	0.329	-0.00067	0.0392
3.566	0.333	-0.00177	0.0403
3.568	0.338	-0.00307	0.0416
3.57	0.342	-0.00357	0.0418
3.572	0.347	-0.00417	0.0424
3.575	0.351	-0.00507	0.0433
3.577	0.356	-0.00607	0.0443
3.579	0.36	-0.00627	0.0445
3.582	0.365	-0.00667	0.0449
3.584	0.369	-0.00687	0.0451
3.586	0.373	-0.00597	0.0442
3.589	0.378	-0.00607	0.0453
3.591	0.382	-0.00607	0.0453
3.593	0.387	-0.00607	0.0453
3.633	0.034	-0.00537	0.042
3.635	0.039	-0.00537	0.042
3.637	0.044	-0.00537	0.042
3.639	0.048	-0.00567	0.0423
3.641	0.053	-0.00527	0.0419
3.643	0.057	-0.00627	0.0429
3.645	0.062	-0.00577	0.0424
3.647	0.066	-0.00637	0.043
3.649	0.071	-0.00677	0.0434
3.651	0.075	-0.00757	0.0442
3.653	0.08	-0.00797	0.0441
3.655	0.085	-0.00777	0.0439
3.657	0.089	-0.00717	0.0433
3.659	0.094	-0.00567	0.0418
3.661	0.098	-0.00427	0.0404
3.663	0.103	-0.00297	0.0391
3.665	0.107	-0.00367	0.0398
3.668	0.112	-0.00407	0.0402
3.67	0.116	-0.00457	0.0403
3.672	0.121	-0.00377	0.0395
3.674	0.126	-0.00177	0.0375
3.676	0.13	0.00173	0.034
3.678	0.135	0.00463	0.0311
3.68	0.139	0.00643	0.0293
3.682	0.144	0.00913	0.0266
3.684	0.148	0.00993	0.0258
3.686	0.153	0.01123	0.0244
3.688	0.158	0.01053	0.0251
3.69	0.162	0.01033	0.0253
3.692	0.167	0.00993	0.0257
3.694	0.171	0.00913	0.0265
3.696	0.176	0.00993	0.0257
3.698	0.18	0.00943	0.0262
3.7	0.185	0.00863	0.027
3.702	0.19	0.00863	0.0279
3.704	0.194	0.00793	0.0286
3.706	0.199	0.00793	0.0286
3.708	0.203	0.00793	0.0286
3.711	0.208	0.00763	0.0289
3.713	0.212	0.00733	0.0292
3.715	0.217	0.00733	0.0292
3.717	0.221	0.00573	0.0308
3.719	0.226	0.00543	0.0331
3.721	0.231	0.00383	0.0347
3.723	0.235	0.00353	0.035
3.725	0.24	0.00253	0.036
3.727	0.244	0.00173	0.0368
3.729	0.249	0.00053	0.038
3.731	0.253	0.00063	0.0379
3.733	0.258	0.00013	0.0384
3.735	0.262	-0.00077	0.039
3.737	0.267	-0.00177	0.04
3.739	0.272	-0.00227	0.0405
3.741	0.276	-0.00207	0.0403
3.743	0.281	-0.00187	0.0401
3.745	0.285	-0.00177	0.04
3.747	0.29	-0.00157	0.0398
3.749	0.294	-0.00097	0.0392
3.751	0.299	0.00123	0.038
3.753	0.304	0.00123	0.038
3.756	0.308	0.00123	0.038
3.819	-0.041	-0.01867	0.0536
3.82	-0.036	-0.01867	0.0536
3.822	-0.031	-0.01867	0.0536
3.824	-0.026	-0.01807	0.053
3.825	-0.022	-0.01617	0.0511
3.827	-0.017	-0.01507	0.05
3.829	-0.012	-0.01227	0.0472
3.83	-0.008	-0.00967	0.0446
3.832	-0.003	-0.00797	0.0429
3.834	0.002	-0.00497	0.0399
3.835	0.006	-0.00287	0.0367
3.837	0.011	-0.00157	0.0354
3.839	0.016	0.00053	0.0333
3.84	0.021	0.00183	0.032
3.842	0.025	0.00263	0.0312
3.844	0.03	0.00333	0.0305
3.845	0.035	0.00343	0.0304
3.847	0.039	0.00233	0.0315
3.849	0.044	0.00193	0.0329
3.85	0.049	0.00103	0.0338
3.852	0.054	0.00093	0.0339
3.854	0.058	0.00103	0.0338
3.855	0.063	0.00083	0.034
3.857	0.068	0.00073	0.0341
3.859	0.072	0.00133	0.0335
3.86	0.077	0.00213	0.0327
3.862	0.082	0.00223	0.0313
3.864	0.086	0.00153	0.032
3.865	0.091	0.00123	0.0323
3.867	0.096	0.00103	0.0325
3.869	0.101	-0.00007	0.0336
3.871	0.105	-0.00017	0.0337
3.872	0.11	-0.00047	0.034
3.874	0.115	0.00003	0.0335
3.875	0.12	-0.00047	0.0345
3.877	0.124	0.00123	0.0328
3.879	0.129	0.00203	0.032
3.881	0.134	0.00303	0.031
3.882	0.138	0.00343	0.0306
3.884	0.143	0.00483	0.0292
3.886	0.148	0.00693	0.0271
3.887	0.153	0.00773	0.0263
3.889	0.157	0.00703	0.028
3.891	0.162	0.00673	0.0283
3.892	0.167	0.00693	0.0281
3.894	0.171	0.00633	0.0287
3.896	0.176	0.00653	0.0285
3.897	0.181	0.00623	0.0288
3.899	0.185	0.00653	0.0285
3.901	0.19	0.00613	0.0289
3.902	0.195	0.00823	0.0242
3.904	0.2	0.00903	0.0234
3.906	0.204	0.00923	0.0232
3.907	0.209	0.00923	0.0232
3.909	0.214	0.00953	0.0229
3.911	0.218	0.00893	0.0235
3.912	0.223	0.00843	0.024
3.914	0.228	0.00913	0.0233
3.916	0.232	0.01023	0.0233
3.918	0.237	0.01023	0.0233
3.919	0.242	0.01023	0.0233
4.014	-0.099	-0.02297	0.0579
4.015	-0.095	-0.02297	0.0579
4.016	-0.09	-0.02297	0.0579
4.017	-0.085	-0.02187	0.0568
4.018	-0.08	-0.02057	0.0555
