iRIC output t = 7400
71,25
I,J,X,Y,Depth(m),Elevation(m),WaterSurfaceElevation(m),ShearStress(Nm-2),ElevationChange(m),FixedBedElevation(m),Vorticity(s-1),FroudeNumber,ShieldsNumber,CrossSectionalMinBedElev(m),CrossSectionalAveBedElev(m),CrossSectionalAveWaterLevel(m),SuspendedSedimentConcentration,Velocity(ms-1)X,Velocity(ms-1)Y,Velocity(ms-1) (magnitude),BedloadFlux(m2s-1)X,BedloadFlux(m2s-1)Y,BedloadFlux(m2s-1) (magnitude)
42,1,-54496.5234375,-96968.9765625,0.00530530223109,10.3186120714,10.3239173737,0,0,10.3186120714,0,0,0,-1.73067890911,4.12367392368,1.39635797021,0,0,0,0,0,0,0
43,1,-54619.1601562,-96990.5390625,0.00530530223109,10.2329097143,10.2382150165,0,0,10.2329097143,0,0,0,-1.70042603603,4.4263287306,1.38617015216,0,0,0,0,0,0,0
44,1,-54745.265625,-97001.359375,0.00530530223109,10.0823608571,10.0876661594,0,0,10.0823608571,0,0,0,-1.67283974865,4.71913085494,1.36788918108,0,0,0,0,0,0,0
45,1,-54871.1484375,-97014.421875,0.00530530223109,9.931812,9.93711730223,0,0,9.931812,0,0,0,-1.73935391191,5.01201173041,1.34054950813,0,0,0,0,0,0,0
46,1,-54993.1132812,-97042.6953125,0.00530530223109,9.78126314286,9.78656844509,0,0,9.78126314286,0,0,0,-1.80471704562,5.30501540659,1.11976453049,0,0,0,0,0,0,0
47,1,-55107.46875,-97099.15625,0.00530530223109,9.65888225397,9.6641875562,0,0,9.65888225397,0,0,0,-1.79981528411,5.52418858908,1.07965121539,0,0,0,0,0,0,0
48,1,-55146.2890625,-97127.2421875,0.00530530223109,9.59283730159,9.59814260382,0,0,9.59283730159,0,0,0,-1.65590524526,5.59544244642,1.28536472461,0,0,0,0,0,0,0
49,1,-55185.1875,-97151.7421875,0.00530530223109,9.55496031745,9.56026561968,0,0,9.55496031745,0,0,0,-1.44259637642,5.5926831133,1.2535087751,0,0,0,0,0,0,0
50,1,-55225.703125,-97163.71875,0.00530530223109,9.52554625493,9.53085155716,0,0,9.52554625493,0,0,0,-1.29869454593,5.57533293255,1.2280407457,0,0,0,0,0,0,0
51,1,-55251.0585938,-97162.1328125,0.00530530223109,9.51305803569,9.51836333792,0,0,9.51305803569,0,0,0,-1.29347778171,5.52898199039,1.19845888492,0,0,0,0,0,0,0
52,1,-55277.2265625,-97156.3203125,0.00530530223109,9.50903273808,9.51433804031,0,0,9.50903273808,0,0,0,-1.35972872417,5.46795127224,1.16294945424,0,0,0,0,0,0,0
53,1,-55303.90625,-97149.6328125,0.00530530223109,9.50500744046,9.51031274269,0,0,9.50500744046,0,0,0,-1.42756027625,5.40676319632,1.12173231726,0,0,0,0,0,0,0
54,1,-55330.7929688,-97145.3984375,0.00530530223109,9.50857328868,9.51387859091,0,0,9.50857328868,0,0,0,-1.50979254743,5.43435595263,1.09830008535,0,0,0,0,0,0,0
